2026-07-31 15:01:16 [INFO] === baseline_reformer  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 15:01:16 [INFO] Device: cuda
2026-07-31 15:01:16 [INFO] 
============================================================
  All-Grid Reformer (Base)
============================================================
2026-07-31 15:01:16 [INFO]   Params: 23.4K
2026-07-31 15:26:22 [INFO]   [All-Grid Reformer (Large)] Epoch  16/100 | Train: 0.10712 | Val: 0.10954 | elapsed 592.6s | GPU 42/24564MB
2026-07-31 15:26:59 [INFO]   [All-Grid Reformer (Large)] Epoch  17/100 | Train: 0.10625 | Val: 0.11095 | elapsed 629.7s | GPU 42/24564MB
2026-07-31 15:27:36 [INFO]   [All-Grid Reformer (Large)] Epoch  18/100 | Train: 0.10552 | Val: 0.10891 | elapsed 666.8s | GPU 42/24564MB
2026-07-31 15:28:14 [INFO]   [All-Grid Reformer (Large)] Epoch  19/100 | Train: 0.10549 | Val: 0.10774 <- best | elapsed 703.9s | GPU 42/24564MB
2026-07-31 15:28:51 [INFO]   [All-Grid Reformer (Large)] Epoch  20/100 | Train: 0.10502 | Val: 0.11093 | elapsed 740.9s | GPU 42/24564MB
2026-07-31 15:29:28 [INFO]   [All-Grid Reformer (Large)] Epoch  21/100 | Train: 0.10494 | Val: 0.11206 | elapsed 777.9s | GPU 42/24564MB
2026-07-31 15:30:04 [INFO]   [All-Grid Reformer (Large)] Epoch  22/100 | Train: 0.10468 | Val: 0.10990 | elapsed 814.8s | GPU 42/24564MB
2026-07-31 15:30:42 [INFO]   [All-Grid Reformer (Large)] Epoch  23/100 | Train: 0.10495 | Val: 0.10643 <- best | elapsed 851.9s | GPU 42/24564MB
2026-07-31 15:31:19 [INFO]   [All-Grid Reformer (Large)] Epoch  24/100 | Train: 0.10445 | Val: 0.11260 | elapsed 889.0s | GPU 42/24564MB
2026-07-31 15:31:56 [INFO]   [All-Grid Reformer (Large)] Epoch  25/100 | Train: 0.10410 | Val: 0.10725 | elapsed 926.1s | GPU 42/24564MB
2026-07-31 15:32:33 [INFO]   [All-Grid Reformer (Large)] Epoch  26/100 | Train: 0.10416 | Val: 0.10767 | elapsed 963.3s | GPU 42/24564MB
2026-07-31 15:33:10 [INFO]   [All-Grid Reformer (Large)] Epoch  27/100 | Train: 0.10395 | Val: 0.10825 | elapsed 1000.4s | GPU 42/24564MB
2026-07-31 15:33:47 [INFO]   [All-Grid Reformer (Large)] Epoch  28/100 | Train: 0.10358 | Val: 0.10848 | elapsed 1037.5s | GPU 42/24564MB
2026-07-31 15:34:24 [INFO]   [All-Grid Reformer (Large)] Epoch  29/100 | Train: 0.10369 | Val: 0.10881 | elapsed 1074.7s | GPU 42/24564MB
2026-07-31 15:35:01 [INFO]   [All-Grid Reformer (Large)] Epoch  30/100 | Train: 0.10346 | Val: 0.10766 | elapsed 1111.8s | GPU 42/24564MB
2026-07-31 15:35:39 [INFO]   [All-Grid Reformer (Large)] Epoch  31/100 | Train: 0.10330 | Val: 0.10882 | elapsed 1148.9s | GPU 42/24564MB
2026-07-31 15:36:16 [INFO]   [All-Grid Reformer (Large)] Epoch  32/100 | Train: 0.10302 | Val: 0.10796 | elapsed 1186.0s | GPU 42/24564MB
2026-07-31 15:36:53 [INFO]   [All-Grid Reformer (Large)] Epoch  33/100 | Train: 0.10275 | Val: 0.10780 | elapsed 1223.1s | GPU 42/24564MB
2026-07-31 15:36:53 [INFO]   [Early Stop] All-Grid Reformer (Large) epoch 33
2026-07-31 15:36:57 [INFO]   TEST MAE=51.8044  wMAPE=3.83%  Time=1223.1s
2026-07-31 15:37:01 [INFO]   [Adapt] Zero-Shot MAE on B+C = 53.4067
2026-07-31 15:37:01 [INFO]   [Adapt] Retraining on adapted data ...
2026-07-31 15:37:38 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   1/100 | Train: 0.15702 | Val: 0.13005 <- best | elapsed 37.2s | GPU 42/24564MB
2026-07-31 15:38:15 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   2/100 | Train: 0.12933 | Val: 0.12607 <- best | elapsed 74.3s | GPU 42/24564MB
2026-07-31 15:38:52 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   3/100 | Train: 0.12521 | Val: 0.12801 | elapsed 111.4s | GPU 42/24564MB
