2026-07-31 14:36:17 [INFO] === baseline_lstm  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 14:36:17 [INFO] Device: cuda
2026-07-31 14:36:17 [INFO] 
============================================================
  Each-Grid LSTM (Small)
============================================================
2026-07-31 14:36:17 [INFO]   Params: 369.9K
2026-07-31 14:37:38 [INFO]   [Each-Grid LSTM (Small)] Epoch  48/100 | Train: 0.07483 | Val: 0.09626 | elapsed 80.7s | GPU 24/24564MB
2026-07-31 14:37:40 [INFO]   [Each-Grid LSTM (Small)] Epoch  49/100 | Train: 0.07462 | Val: 0.09580 | elapsed 82.4s | GPU 24/24564MB
2026-07-31 14:37:42 [INFO]   [Each-Grid LSTM (Small)] Epoch  50/100 | Train: 0.07443 | Val: 0.09565 <- best | elapsed 84.0s | GPU 24/24564MB
2026-07-31 14:37:43 [INFO]   [Each-Grid LSTM (Small)] Epoch  51/100 | Train: 0.07423 | Val: 0.09622 | elapsed 85.7s | GPU 24/24564MB
2026-07-31 14:37:45 [INFO]   [Each-Grid LSTM (Small)] Epoch  52/100 | Train: 0.07406 | Val: 0.09570 | elapsed 87.3s | GPU 24/24564MB
2026-07-31 14:37:46 [INFO]   [Each-Grid LSTM (Small)] Epoch  53/100 | Train: 0.07387 | Val: 0.09544 <- best | elapsed 88.9s | GPU 24/24564MB
2026-07-31 14:37:48 [INFO]   [Each-Grid LSTM (Small)] Epoch  54/100 | Train: 0.07374 | Val: 0.09599 | elapsed 90.5s | GPU 24/24564MB
2026-07-31 14:37:50 [INFO]   [Each-Grid LSTM (Small)] Epoch  55/100 | Train: 0.07353 | Val: 0.09506 <- best | elapsed 92.1s | GPU 24/24564MB
2026-07-31 14:37:52 [INFO]   [Each-Grid LSTM (Small)] Epoch  56/100 | Train: 0.07335 | Val: 0.09562 | elapsed 94.3s | GPU 24/24564MB
2026-07-31 14:37:54 [INFO]   [Each-Grid LSTM (Small)] Epoch  57/100 | Train: 0.07321 | Val: 0.09504 <- best | elapsed 96.4s | GPU 24/24564MB
2026-07-31 14:37:56 [INFO]   [Each-Grid LSTM (Small)] Epoch  58/100 | Train: 0.07305 | Val: 0.09545 | elapsed 98.6s | GPU 24/24564MB
2026-07-31 14:37:58 [INFO]   [Each-Grid LSTM (Small)] Epoch  59/100 | Train: 0.07288 | Val: 0.09488 <- best | elapsed 100.8s | GPU 24/24564MB
2026-07-31 14:38:00 [INFO]   [Each-Grid LSTM (Small)] Epoch  60/100 | Train: 0.07270 | Val: 0.09498 | elapsed 102.9s | GPU 24/24564MB
2026-07-31 14:38:03 [INFO]   [Each-Grid LSTM (Small)] Epoch  61/100 | Train: 0.07255 | Val: 0.09476 <- best | elapsed 105.0s | GPU 24/24564MB
2026-07-31 14:38:05 [INFO]   [Each-Grid LSTM (Small)] Epoch  62/100 | Train: 0.07238 | Val: 0.09516 | elapsed 107.2s | GPU 24/24564MB
2026-07-31 14:38:07 [INFO]   [Each-Grid LSTM (Small)] Epoch  63/100 | Train: 0.07226 | Val: 0.09514 | elapsed 109.3s | GPU 24/24564MB
2026-07-31 14:38:09 [INFO]   [Each-Grid LSTM (Small)] Epoch  64/100 | Train: 0.07207 | Val: 0.09512 | elapsed 111.4s | GPU 24/24564MB
2026-07-31 14:38:11 [INFO]   [Each-Grid LSTM (Small)] Epoch  65/100 | Train: 0.07194 | Val: 0.09492 | elapsed 113.6s | GPU 24/24564MB
2026-07-31 14:38:13 [INFO]   [Each-Grid LSTM (Small)] Epoch  66/100 | Train: 0.07183 | Val: 0.09512 | elapsed 115.8s | GPU 24/24564MB
2026-07-31 14:38:16 [INFO]   [Each-Grid LSTM (Small)] Epoch  67/100 | Train: 0.07163 | Val: 0.09513 | elapsed 118.0s | GPU 24/24564MB
2026-07-31 14:38:18 [INFO]   [Each-Grid LSTM (Small)] Epoch  68/100 | Train: 0.07144 | Val: 0.09471 <- best | elapsed 120.2s | GPU 24/24564MB
2026-07-31 14:38:20 [INFO]   [Each-Grid LSTM (Small)] Epoch  69/100 | Train: 0.07139 | Val: 0.09535 | elapsed 122.4s | GPU 24/24564MB
2026-07-31 14:38:22 [INFO]   [Each-Grid LSTM (Small)] Epoch  70/100 | Train: 0.07122 | Val: 0.09472 | elapsed 124.1s | GPU 24/24564MB
2026-07-31 14:38:23 [INFO]   [Each-Grid LSTM (Small)] Epoch  71/100 | Train: 0.07114 | Val: 0.09489 | elapsed 125.7s | GPU 24/24564MB
2026-07-31 14:38:25 [INFO]   [Each-Grid LSTM (Small)] Epoch  72/100 | Train: 0.07096 | Val: 0.09464 <- best | elapsed 127.4s | GPU 24/24564MB
2026-07-31 14:38:27 [INFO]   [Each-Grid LSTM (Small)] Epoch  73/100 | Train: 0.07083 | Val: 0.09435 <- best | elapsed 129.0s | GPU 24/24564MB
2026-07-31 14:38:28 [INFO]   [Each-Grid LSTM (Small)] Epoch  74/100 | Train: 0.07074 | Val: 0.09473 | elapsed 130.6s | GPU 24/24564MB
2026-07-31 14:38:30 [INFO]   [Each-Grid LSTM (Small)] Epoch  75/100 | Train: 0.07058 | Val: 0.09443 | elapsed 132.2s | GPU 24/24564MB
2026-07-31 14:38:31 [INFO]   [Each-Grid LSTM (Small)] Epoch  76/100 | Train: 0.07044 | Val: 0.09495 | elapsed 133.9s | GPU 24/24564MB
2026-07-31 14:38:33 [INFO]   [Each-Grid LSTM (Small)] Epoch  77/100 | Train: 0.07036 | Val: 0.09423 <- best | elapsed 135.4s | GPU 24/24564MB
2026-07-31 14:38:35 [INFO]   [Each-Grid LSTM (Small)] Epoch  78/100 | Train: 0.07027 | Val: 0.09442 | elapsed 137.1s | GPU 24/24564MB
2026-07-31 14:38:36 [INFO]   [Each-Grid LSTM (Small)] Epoch  79/100 | Train: 0.07009 | Val: 0.09418 <- best | elapsed 138.7s | GPU 24/24564MB
2026-07-31 14:38:38 [INFO]   [Each-Grid LSTM (Small)] Epoch  80/100 | Train: 0.06997 | Val: 0.09367 <- best | elapsed 140.3s | GPU 24/24564MB
2026-07-31 14:38:40 [INFO]   [Each-Grid LSTM (Small)] Epoch  81/100 | Train: 0.06988 | Val: 0.09451 | elapsed 142.1s | GPU 24/24564MB
2026-07-31 14:38:41 [INFO]   [Each-Grid LSTM (Small)] Epoch  82/100 | Train: 0.06975 | Val: 0.09479 | elapsed 143.8s | GPU 24/24564MB
2026-07-31 14:38:43 [INFO]   [Each-Grid LSTM (Small)] Epoch  83/100 | Train: 0.06969 | Val: 0.09427 | elapsed 145.4s | GPU 24/24564MB
2026-07-31 14:38:45 [INFO]   [Each-Grid LSTM (Small)] Epoch  84/100 | Train: 0.06958 | Val: 0.09482 | elapsed 147.0s | GPU 24/24564MB
