2026-07-31 16:05:54 [INFO] === ablation  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 16:05:54 [INFO] Device: cuda  N=300
2026-07-31 16:05:54 [INFO] 
==================================================
  Ablation: Full
==================================================
2026-07-31 16:05:54 [INFO]   Params: 253.1K
2026-07-31 16:11:54 [INFO]   [w/o Time Embedding] Epoch  15/100 | Train: 5423.03144 | Val: 6247.43773 | elapsed 34.0s | GPU 30/24564MB
2026-07-31 16:11:57 [INFO]   [w/o Time Embedding] Epoch  16/100 | Train: 5383.85920 | Val: 5886.67256 | elapsed 36.7s | GPU 30/24564MB
2026-07-31 16:11:59 [INFO]   [w/o Time Embedding] Epoch  17/100 | Train: 5388.07872 | Val: 5727.86094 <- best | elapsed 38.9s | GPU 30/24564MB
2026-07-31 16:12:02 [INFO]   [w/o Time Embedding] Epoch  18/100 | Train: 5237.71882 | Val: 5987.57574 | elapsed 41.7s | GPU 30/24564MB
2026-07-31 16:12:04 [INFO]   [w/o Time Embedding] Epoch  19/100 | Train: 5187.08391 | Val: 5428.41966 <- best | elapsed 44.0s | GPU 30/24564MB
2026-07-31 16:12:07 [INFO]   [w/o Time Embedding] Epoch  20/100 | Train: 4996.92490 | Val: 5497.90610 | elapsed 46.7s | GPU 30/24564MB
2026-07-31 16:12:10 [INFO]   [w/o Time Embedding] Epoch  21/100 | Train: 4916.36686 | Val: 5659.78925 | elapsed 49.4s | GPU 30/24564MB
2026-07-31 16:12:13 [INFO]   [w/o Time Embedding] Epoch  22/100 | Train: 4914.31473 | Val: 6301.97018 | elapsed 52.2s | GPU 30/24564MB
2026-07-31 16:12:15 [INFO]   [w/o Time Embedding] Epoch  23/100 | Train: 4921.22098 | Val: 5219.62348 <- best | elapsed 54.9s | GPU 30/24564MB
2026-07-31 16:12:18 [INFO]   [w/o Time Embedding] Epoch  24/100 | Train: 4762.18338 | Val: 5208.89394 <- best | elapsed 57.7s | GPU 30/24564MB
2026-07-31 16:12:21 [INFO]   [w/o Time Embedding] Epoch  25/100 | Train: 4742.94830 | Val: 5638.29056 | elapsed 60.5s | GPU 30/24564MB
2026-07-31 16:12:24 [INFO]   [w/o Time Embedding] Epoch  26/100 | Train: 4734.51915 | Val: 5650.42593 | elapsed 63.3s | GPU 30/24564MB
2026-07-31 16:12:26 [INFO]   [w/o Time Embedding] Epoch  27/100 | Train: 4628.41247 | Val: 4988.30956 <- best | elapsed 65.6s | GPU 30/24564MB
2026-07-31 16:12:29 [INFO]   [w/o Time Embedding] Epoch  28/100 | Train: 4566.75980 | Val: 5061.71262 | elapsed 68.4s | GPU 30/24564MB
2026-07-31 16:12:32 [INFO]   [w/o Time Embedding] Epoch  29/100 | Train: 4631.78604 | Val: 5660.20702 | elapsed 71.1s | GPU 30/24564MB
2026-07-31 16:12:34 [INFO]   [w/o Time Embedding] Epoch  30/100 | Train: 4487.97431 | Val: 5732.75048 | elapsed 73.8s | GPU 30/24564MB
2026-07-31 16:12:37 [INFO]   [w/o Time Embedding] Epoch  31/100 | Train: 4473.53546 | Val: 5000.15309 | elapsed 76.5s | GPU 30/24564MB
2026-07-31 16:12:40 [INFO]   [w/o Time Embedding] Epoch  32/100 | Train: 4428.08034 | Val: 4973.85721 <- best | elapsed 79.3s | GPU 30/24564MB
2026-07-31 16:12:43 [INFO]   [w/o Time Embedding] Epoch  33/100 | Train: 4361.02412 | Val: 5267.89572 | elapsed 82.1s | GPU 30/24564MB
2026-07-31 16:12:45 [INFO]   [w/o Time Embedding] Epoch  34/100 | Train: 4374.92637 | Val: 5250.37502 | elapsed 84.9s | GPU 30/24564MB
2026-07-31 16:12:48 [INFO]   [w/o Time Embedding] Epoch  35/100 | Train: 4272.88314 | Val: 4941.93302 <- best | elapsed 87.6s | GPU 30/24564MB
2026-07-31 16:12:50 [INFO]   [w/o Time Embedding] Epoch  36/100 | Train: 4372.90043 | Val: 5078.28749 | elapsed 90.0s | GPU 30/24564MB
2026-07-31 16:12:53 [INFO]   [w/o Time Embedding] Epoch  37/100 | Train: 4228.96746 | Val: 5188.86338 | elapsed 92.4s | GPU 30/24564MB
2026-07-31 16:12:55 [INFO]   [w/o Time Embedding] Epoch  38/100 | Train: 4234.89976 | Val: 5170.30364 | elapsed 94.8s | GPU 30/24564MB
2026-07-31 16:12:57 [INFO]   [w/o Time Embedding] Epoch  39/100 | Train: 4209.80249 | Val: 5249.67154 | elapsed 97.0s | GPU 30/24564MB
2026-07-31 16:13:00 [INFO]   [w/o Time Embedding] Epoch  40/100 | Train: 4189.09816 | Val: 4966.54248 | elapsed 99.4s | GPU 30/24564MB
2026-07-31 16:13:02 [INFO]   [w/o Time Embedding] Epoch  41/100 | Train: 4182.17823 | Val: 4759.61908 <- best | elapsed 101.9s | GPU 30/24564MB
